Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Chandigarh,726.57,57,Large,2020-05-25,9,Paneer,Amul,770.27,80.1,61698.62699999999,7,Refrigerated,2020-05-02,2020-05-09,557,81.76,45540.32,Madhya Pradesh,Retail,213,83.63,79.83
Delhi,509.17,41,Large,2020-03-27,2,Butter,Amul,985.95,92.69,91387.7055,28,Refrigerated,2020-02-21,2020-03-20,56,96.86,5424.16,Rajasthan,Retail,929,37.94,187.73
Tamil Nadu,589.36,97,Medium,2019-10-02,10,Ghee,Amul,581.5,43.88,25516.22,136,Ambient,2019-08-23,2020-01-06,86,41.49,3568.14,Delhi,Wholesale,495,54.72,156.21
Bihar,639.32,25,Large,2022-04-28,1,Milk,Raj,652.4,61.24,39952.976,1,Polythene Packet,2022-04-12,2022-04-13,389,65.53,25491.17,Telangana,Retail,263,45.01,121.01
Delhi,778.16,42,Large,2019-12-11,7,Lassi,Raj,112.8,91.62,10334.736,13,Refrigerated,2019-10-30,2019-11-12,104,93.93,9768.72,Bihar,Retail,8,92.48,104.82
Chandigarh,389.58,36,Large,2021-04-09,5,Ice Cream,Amul,675.77,52.35,35376.5595,24,Frozen,2021-02-20,2021-03-16,6,54.41,326.46,Gujarat,Wholesale,669,15.3,106.03
Rajasthan,332.75,98,Medium,2019-10-23,1,Milk,Sudha,865.01,46.37,40110.513699999996,2,Polythene Packet,2019-10-11,2019-10-13,302,42.34,12786.68,Delhi,Retail,563,70.1,170.61
Haryana,201.32,37,Medium,2019-08-15,7,Lassi,Amul,681.45,78.56,53534.71200000001,16,Refrigerated,2019-07-04,2019-07-20,552,74.45,41096.4,Haryana,Retail,129,64.85,86.46
Telangana,654.24,19,Large,2020-09-22,4,Yogurt,Palle2patnam,65.8,82.43,5423.894,30,Frozen,2020-09-21,2020-10-21,26,84.9,2207.4,Maharashtra,Online,39,67.7,95.52
Rajasthan,418.17,20,Large,2019-11-17,10,Ghee,Sudha,685.84,92.97,63762.5448,143,Ambient,2019-11-07,2020-03-29,634,95.09,60287.06,Chandigarh,Retail,51,78.67,99.91
Chandigarh,647.03,74,Small,2021-01-02,5,Ice Cream,Palle2patnam,750.7,86.58,64995.606,26,Frozen,2020-12-04,2020-12-30,696,83.73,58276.08,Delhi,Wholesale,54,31.69,187.36
Delhi,948.51,94,Small,2019-08-24,2,Butter,Mother Dairy,791.17,45.01,35610.5617,37,Frozen,2019-08-08,2019-09-14,534,48.01,25637.34,Chandigarh,Wholesale,257,80.22,59.28
Rajasthan,132.6,22,Medium,2021-09-10,4,Yogurt,Mother Dairy,548.97,27.07,14860.617900000001,25,Refrigerated,2021-08-31,2021-09-25,386,25.29,9761.94,Telangana,Online,162,28.6,140.82
Chandigarh,85.67,19,Medium,2021-10-11,10,Ghee,Raj,455.19,44.64,20319.6816,144,Ambient,2021-09-10,2022-02-01,420,48.13,20214.6,Madhya Pradesh,Online,35,40.44,148.64
Karnataka,472.49,23,Small,2022-07-10,8,Buttermilk,Sudha,23.96,53.76,1288.0896,11,Refrigerated,2022-05-31,2022-06-11,23,56.57,1301.11,Madhya Pradesh,Online,0,41.42,186.26
Karnataka,315.14,24,Medium,2020-10-09,8,Buttermilk,Raj,118.22,20.18,2385.6796,12,Refrigerated,2020-09-19,2020-10-01,84,15.64,1313.76,Jharkhand,Online,34,40.9,157.94
Uttar Pradesh,716.54,90,Large,2019-07-13,3,Cheese,Amul,197.25,99.96,19717.11,29,Refrigerated,2019-06-08,2019-07-07,150,100.74,15111.0,Jharkhand,Wholesale,47,28.23,93.72
Gujarat,776.36,17,Medium,2021-08-25,2,Butter,Parag Milk Foods,535.1,13.66,7309.466,39,Frozen,2021-07-08,2021-08-16,18,8.83,158.94,Jharkhand,Retail,517,32.01,46.46
Haryana,762.0,93,Small,2022-05-18,7,Lassi,Mother Dairy,678.13,50.66,34354.0658,13,Refrigerated,2022-04-28,2022-05-11,526,49.4,25984.4,West Bengal,Online,152,54.19,56.09
